------->U2000Name, NeName, CellId<------
WAW,14_WAR3008H_1_KOPERNIKA_6,89
WAW,14_WAR3008H_1_KOPERNIKA_6,96
WAW,14_WAR3008H_1_KOPERNIKA_6,116
WAW,14_WAR3008H_1_KOPERNIKA_6,66
WAW,14_WAR3008H_1_KOPERNIKA_6,86
WAW,14_WAR3008H_1_KOPERNIKA_6,68
WAW,14_WAR3008H_1_KOPERNIKA_6,88
WAW,14_WAR8211A_1_METRO_SWIETOKRZ,66
WAW,14_WAR3008H_1_KOPERNIKA_6,79
WAW,14_WAR3008H_1_KOPERNIKA_6,106
WAW,14_WAR3008H_1_KOPERNIKA_6,76
WAW,14_WAR3008H_1_KOPERNIKA_6,78
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,109
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,136
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,106
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,108
WAW,14_WAR1031F_1_ZLOTA_9,20
WAW,14_WAR1031F_1_ZLOTA_9,10
WAW,14_WAR8118A_1_METRO_PL_WILSON,44
WAW,14_WAR8113A_1_METRO_CENTRUM,68
WAW,14_WAR1017B_1_LESZNO_14,67
WAW,14_WAR1017B_1_LESZNO_14,94
WAW,14_WAR1017B_1_LESZNO_14,104
WAW,14_WAR1017B_1_LESZNO_14,64
WAW,14_WAR1017B_1_LESZNO_14,66
WAW,14_WAR1017B_1_LESZNO_14,57
WAW,14_WAR1017B_1_LESZNO_14,84
WAW,14_WAR1017B_1_LESZNO_14,54
WAW,14_WAR1017B_1_LESZNO_14,56
WAW,14_WAR9005A_1_TARGOWA_26_30,70
WAW,14_WAR9005A_1_TARGOWA_26_30,80
WAW,14_WAR9005A_1_TARGOWA_26_30,50
WAW,14_WAR9005A_1_TARGOWA_26_30,60
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,95
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,132
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,92
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,65
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,102
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,62
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,64
WAW,14_WAR1086A_1_AL_JANA_PAWLA_I,68
WAW,14_WAR1086A_1_AL_JANA_PAWLA_I,38
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,85
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,122
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,82
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,94
WAW,14_WAR2207B_1_BATALIONU_PLATE,112
WAW,14_WAR2207B_1_BATALIONU_PLATE,122
WAW,14_WAR2207B_1_BATALIONU_PLATE,132
WAW,14_WAR2207B_1_BATALIONU_PLATE,82
WAW,14_WAR2207B_1_BATALIONU_PLATE,92
WAW,14_WAR2207B_1_BATALIONU_PLATE,102
WAW,14_WAR1086A_1_AL_JANA_PAWLA_I,78
WAW,14_WAR1086A_1_AL_JANA_PAWLA_I,48
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,75
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,112
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,72
WAW,14_WAR1093D_1_WYBRZEZE_KOSCIU,74
WAW,14_WAR1086A_1_AL_JANA_PAWLA_I,88
WAW,14_WAR1086A_1_AL_JANA_PAWLA_I,58
WAW,14_WAR1007E_1_KOWIENSKA_11_13,46
WAW,14_WAR1007E_1_KOWIENSKA_11_13,16
WAW,14_WAR1007E_1_KOWIENSKA_11_13,36
WAW,14_WAR1007E_1_KOWIENSKA_11_13,6
WAW,14_WAR1092C_1_KRUCZA_51,29
WAW,14_WAR1092C_1_KRUCZA_51,49
WAW,14_WAR1092C_1_KRUCZA_51,56
WAW,14_WAR1092C_1_KRUCZA_51,76
WAW,14_WAR1092C_1_KRUCZA_51,26
WAW,14_WAR1092C_1_KRUCZA_51,46
WAW,14_WAR1092C_1_KRUCZA_51,28
WAW,14_WAR1092C_1_KRUCZA_51,48
WAW,14_WAR1007E_1_KOWIENSKA_11_13,56
WAW,14_WAR1007E_1_KOWIENSKA_11_13,26
